,course,url,lat,lon
0,Azusa Greens Country Club,missing,34.1433476,-117.9187991
1,Siren Glen Golf Club,http://www.sirenglen.com,45.77424329999999,-92.42944039999999
2,Delta Country Club,missing,33.38007,-95.64211999999999
3,Poplar Creek Country Club,http://www.heparks.org/index.php?loc=poplar,42.050477,-88.137202
4,South Mountain Golf Club,missing,40.4919637,-111.8560122
5,North Course at Bretwood Golf Course,missing,42.9796016,-72.3061001
6,Martindale Country Club,missing,44.0593145,-70.26964199999999
7,North Course at Alondra Park Golf Course,http://parks.co.la.ca.us/alondra.html,33.8894595,-118.3309073
8,Golf Course at Sycamore Creek,missing,32.7409649,-97.3010175
9,Pelican Marsh Golf Club,missing,26.252771,-81.780963
10,Tara Greens Golf Center,missing,40.4776491,-74.4872134
11,Riverwood Golf Course,missing,45.2894194,-93.67955239999999
12,Esquire Golf Course,missing,38.367581,-82.2663501
13,Hatchet Creek Golf Club,missing,33.21838640000001,-86.24288849999999
14,Morrisville Golf Farm,missing,40.2006539,-74.79055269999999
15,Oakhaven Golf Club,http://www.oakhaven.com,40.342,-83.07916800000001
16,Bairds Wayside Golf Course,missing,41.026609,-83.532713
17,Glen Kernan Golf & Country Club,missing,30.256285,-81.483876
18,Valley Pine Country Club,missing,36.352167,-77.29317
19,Shore Course at Monterey Peninsula Country Club,missing,36.601423,-121.9483264
20,Hara Greens,missing,39.8210826,-84.2557892
21,El Dorado Country Club,missing,33.240988,-92.660502
22,Plum Hollow Country Club,missing,42.4513276,-83.262576
23,Oakland City Golf Club,missing,38.332795,-87.35383999999999
24,Parlor City Country Club,http://www.parlorcitycc.com,40.77726,-85.179169
25,Palmetto Course at Myrtlewood Golf Club,http://www.myrtlewoodgolf.com,33.7381228,-78.8713764
26,Tupelo Meadow Course at Aberdine Country Club,missing,34.2576066,-88.7033859
27,Slate Branch Golf Course,missing,37.0244849,-84.6394105
28,Parkersburg Country Club,missing,39.3407859,-81.544164
29,Marysville Golf Course,missing,42.892975,-82.474496
30,Honeywell Golf Course,http://www.honeywellgolf.com,40.8276161,-85.8550212
31,Green Meadows Golf Club,missing,45.6764252,-122.5983775
32,Lansford Country Club,missing,48.628909,-101.3757158
33,Gambel - West & East Course at Quail Chase Golf Club,http://www.quailchase.com,30.5038712,
34,Pecan Plantation Country Club,missing,32.3619096,-97.688271
35,Horseshoe Mountain Golf Club,missing,44.7860784,-107.3223021
