,course,url
0,Azusa Greens Country Club,missing
0,Siren Glen Golf Club,http://www.sirenglen.com
0,Delta Country Club,missing
0,Poplar Creek Country Club,http://www.heparks.org/index.php?loc=poplar
0,South Mountain Golf Club,missing
0,North Course at Bretwood Golf Course,missing
0,Martindale Country Club,missing
0,North Course at Alondra Park Golf Course,http://parks.co.la.ca.us/alondra.html
0,Golf Course at Sycamore Creek,missing
0,Pelican Marsh Golf Club,missing
0,Tara Greens Golf Center,missing
0,Riverwood Golf Course,missing
0,Esquire Golf Course,missing
0,Hatchet Creek Golf Club,missing
0,Morrisville Golf Farm,missing
0,Oakhaven Golf Club,http://www.oakhaven.com
0,Bairds Wayside Golf Course,missing
0,Glen Kernan Golf & Country Club,missing
0,Valley Pine Country Club,missing
0,Shore Course at Monterey Peninsula Country Club,missing
0,Hara Greens,missing
0,El Dorado Country Club,missing
0,Plum Hollow Country Club,missing
0,Oakland City Golf Club,missing
0,Parlor City Country Club,http://www.parlorcitycc.com
0,Palmetto Course at Myrtlewood Golf Club,http://www.myrtlewoodgolf.com
0,Tupelo Meadow Course at Aberdine Country Club,missing
0,Slate Branch Golf Course,missing
0,Parkersburg Country Club,missing
0,Marysville Golf Course,missing
0,Honeywell Golf Course,http://www.honeywellgolf.com
0,Green Meadows Golf Club,missing
0,Lansford Country Club,missing
0,Gambel - West & East Course at Quail Chase Golf Club,http://www.quailchase.com
0,Pecan Plantation Country Club,missing
0,Horseshoe Mountain Golf Club,missing
0,Hidden Lake Golf Club & Resort,missing
0,Bedford Golf & Tennis Club,missing
0,Seascape Golf Club,http://www.seascapegc.com
0,The Good & The Bad Course at Hombre Golf Club,http://www.hombregolfclub.com
0,Shenendoah Course at Turning Stone Casino Resort,http://www.turning-stone.com
0,Meadows Course at Sunriver Resort,http://www.sunriver-resort.com
0,Freeport Municipal Golf Course,missing
0,Navesink Country Club,missing
0,Devils Tower Golf Club,http://www.dtgolf.com
0,We-Ko-Pa Golf Club,http://www.wekopa.com
0,Golden Valley Country Club,missing
0,Sidney Country Club,missing
0,Sunrise Course at Centennial Acres,missing
0,Lost Gold Course at Superstition Mountain Golf & Country Club,http://www.superstitionmountain.com
0,Refugio County Country Club,missing
0,Cottonwood Hills Golf Club,missing
0,Preserve Natural Course at Binder Park Municipal Golf Course,missing
0,Ellsworth Meadows Golf Club,missing
0,Peter Hay Par Three Course at Pebble Beach Golf Links,http://www.pebblebeach.com
0,Yule Golf Club,missing
0,Mountain Ranch Golf Club at Fairfield Bay,missing
0,Glendora Country Club,http://www.glendoracountryclub.com
0,Cherry Ridge Country Club,missing
0,Lake Buena Vista Club Course at Walt Disney World Golf Complex,http://www.golf.disneyworld.com
0,Pascagoula Country Club,missing
0,Rhinelander Country Club,missing
0,Green Acres Country Club,missing
0,Summit Golf Course,missing
0,Bonita Springs Golf Club,http://www.bonitasprings.com/golf/
0,Taconic Highland Course at Beekman Country Club,http://www.beekmangolf.com
0,Touisset Country Club,missing
0,Brookdale Golf Club,missing
0,9-Hole Executive Course at Wilderness Ridge Golf Club,http://www.wildernessridgegolf.com
0,Red Course at Twin Orchard Country Club,missing
0,Woods Farms Course at Birchwood Farms Golf & Country Club,missing
0,Holbrook Country Club,http://www.holbrookcountryclub.com
0,Crockett Golf & Country Club,missing
0,Buena Vista Golf Course,missing
0,Frazanda Golf Course,missing
0,Montebello Country Club,missing
0,Meadow Cypress Course at Aberdine Country Club,missing
0,Black Jack Course at Fair Oaks Ranch Golf & Country Club,http://www.fairoaksclub.com
0,White Birch Hills Golf Course,missing
0,Chaska Town Course,http://www.chaskatowncourse.com
0,Surfside Golf Course,missing
0,Abbey Springs Golf Course,http://www.abbeysprings.com
0,Oshkosh Country Club,missing
0,Hattiesburg Country Club,missing
0,Orchard Hills Golf Course,missing
0,Highlands Valley View Course at Weatherwax Golf Course,missing
0,San Jacinto San Gorgonio Course at Sun City Palm Desert Golf Course,missing
0,Pehquenakonck Country Club,missing
0,Country Club of Decatur,missing
0,Pine Ridge Golf Course,missing
0,Oaks Palms Course at Hacienda Hills Golf & Country Club,missing
0,Robins Ridge Golf Course,missing
0,Maumee Bay State Park Golf Course,missing
0,East Course at Orangebrook Country Club,missing
0,Bluffs,missing
0,Brabenders South Woods Golf Course,missing
0,Middle Back Course at Rolling Green Golf Club,missing
0,Golf Club at Ballantyne,http://www.ballantyneresort.com
0,Edgewater Golf Club,missing
0,Jackson Valley Golf Club,missing
0,Beacon Woods Golf Club,http://www.beaconwoodsgolf.com
0,Belmont Country Club,missing
